source,destination,distance_km,blackspot_count,night_time,poor_streetlight,safety_level,via,accident_prone_area
Gobichettipalayam,Ariyalur,77,9,0,1,Moderate Risk,Salem,Salem
Dindigul,Kanchipuram,61,8,0,0,High Risk,Chidambaram → Nagercoil → Vellore,"Chidambaram, Vellore"
Pattukkottai,Ariyalur,266,7,0,0,High Risk,Madurai,Madurai
Sathyamangalam,Nagercoil,273,10,0,1,High Risk,Ramanathapuram → Salem → Chennai,None
Namakkal,Kanchipuram,226,9,0,1,Safe,Salem,None
Chennai,Ambur,93,7,1,1,Safe,Chidambaram,Chidambaram
Erode,Pollachi,172,3,1,0,Safe,Perambalur,Perambalur
Tenkasi,Thanjavur,270,6,1,0,High Risk,Dindigul → Avadi,Avadi
Kanchipuram,Namakkal,224,10,0,0,Moderate Risk,Pollachi,Pollachi
Tiruchirappalli,Mettupalayam,355,3,0,1,Safe,Ariyalur,Ariyalur
Tenkasi,Tiruppur,399,3,0,1,High Risk,Tambaram → Madurai,"Madurai, Tambaram"
Karur,Dindigul,318,5,0,0,Moderate Risk,Pollachi → Nagercoil,None
Mettupalayam,Nagapattinam,185,5,0,0,High Risk,Ramanathapuram → Sivakasi,None
Ariyalur,Villupuram,138,6,1,0,High Risk,Coimbatore → Dharmapuri,None
Namakkal,Vellore,379,5,1,1,High Risk,Coimbatore,None
Karur,Ramanathapuram,235,6,0,0,Safe,Tirunelveli,Tirunelveli
Tiruppur,Karaikudi,81,2,0,0,High Risk,Salem → Erode,None
Pollachi,Perambalur,65,10,0,0,Safe,Tiruppur,None
Thoothukudi,Ramanathapuram,245,6,0,1,Moderate Risk,Thanjavur → Madurai → Ambur,"Madurai, Ambur, Thanjavur"
Chennai,Cuddalore,286,6,0,1,High Risk,Tiruppur,None
Gobichettipalayam,Ramanathapuram,283,4,0,0,Moderate Risk,Chennai → Ariyalur → Tiruchirappalli,None
Ariyalur,Ambur,149,9,0,1,High Risk,Tambaram,None
Sathyamangalam,Tenkasi,224,1,1,1,Moderate Risk,Sivakasi → Ramanathapuram,None
Tirunelveli,Dharmapuri,250,7,1,0,Moderate Risk,Madurai → Ramanathapuram,Madurai
Madurai,Nagercoil,69,7,0,0,Safe,Tiruppur → Nagapattinam → Sivakasi,"Sivakasi, Nagapattinam"
Salem,Gobichettipalayam,176,6,1,1,High Risk,Dindigul,None
Madurai,Pollachi,116,5,1,0,Safe,Karaikudi → Nagercoil,None
Nagercoil,Villupuram,217,6,0,1,Safe,Pudukkottai → Tenkasi,None
Namakkal,Pattukkottai,61,9,1,1,Safe,Gobichettipalayam → Sathyamangalam → Ariyalur,"Ariyalur, Gobichettipalayam, Sathyamangalam"
Perambalur,Mettupalayam,119,2,0,0,Moderate Risk,Sathyamangalam → Thoothukudi,Sathyamangalam
Ramanathapuram,Chidambaram,391,4,1,1,Moderate Risk,Erode → Avadi,Erode
Tirunelveli,Salem,215,9,1,0,Moderate Risk,Mettupalayam,None
Tiruchirappalli,Thoothukudi,210,5,1,0,Safe,Pattukkottai,None
Ramanathapuram,Coimbatore,100,10,0,0,Safe,Dharmapuri → Mettupalayam,None
Nagercoil,Karur,163,2,0,0,Safe,Thoothukudi,Thoothukudi
Tiruchirappalli,Pollachi,182,1,0,0,Moderate Risk,Kanchipuram → Ariyalur → Villupuram,"Kanchipuram, Villupuram"
Ambur,Vellore,110,9,1,0,Moderate Risk,Thoothukudi,None
Tambaram,Tirunelveli,55,5,1,1,Safe,Dindigul,Dindigul
Vellore,Namakkal,260,6,0,0,Safe,Madurai → Cuddalore → Tirunelveli,"Madurai, Tirunelveli"
Sathyamangalam,Ambur,372,3,0,1,High Risk,Madurai,None
Nagercoil,Tirunelveli,339,5,1,1,High Risk,Coimbatore,None
Salem,Dharmapuri,71,7,1,1,Safe,Karur → Dindigul,None
Tiruchirappalli,Cuddalore,149,9,0,1,Moderate Risk,Coimbatore → Salem,None
Avadi,Sivakasi,100,5,0,1,Moderate Risk,Karur → Salem → Tenkasi,None
Villupuram,Ambur,216,4,0,1,High Risk,Thanjavur → Gobichettipalayam,Thanjavur
Pudukkottai,Salem,216,10,1,1,High Risk,Pollachi → Sathyamangalam,Pollachi
Avadi,Ariyalur,318,1,1,1,High Risk,Dindigul → Cuddalore → Dharmapuri,"Dindigul, Dharmapuri"
Kanchipuram,Perambalur,196,2,0,0,Safe,Cuddalore → Tirunelveli → Sathyamangalam,None
Karaikudi,Tiruppur,54,8,1,0,Moderate Risk,Pattukkottai → Chennai,None
Tiruppur,Nagercoil,197,4,0,0,High Risk,Tambaram → Karur,"Tambaram, Karur"
Tiruppur,Pudukkottai,280,5,0,1,High Risk,Tenkasi → Nagapattinam,None
Karaikudi,Avadi,69,4,1,1,Moderate Risk,Perambalur → Madurai → Pudukkottai,"Madurai, Perambalur"
Sathyamangalam,Mettupalayam,321,4,1,0,Safe,Thanjavur,None
Sathyamangalam,Tiruchirappalli,268,8,1,0,Moderate Risk,Tirunelveli → Madurai → Avadi,None
Erode,Chennai,383,9,1,1,Safe,Sivakasi → Nagapattinam,None
Tiruppur,Ambur,257,7,0,1,High Risk,Pudukkottai,None
Coimbatore,Chidambaram,126,9,1,0,Safe,Chennai → Thanjavur → Dindigul,None
Gobichettipalayam,Tenkasi,157,4,1,1,High Risk,Sathyamangalam → Ariyalur,"Sathyamangalam, Ariyalur"
Tirunelveli,Sivakasi,274,10,1,1,High Risk,Dharmapuri → Coimbatore → Tiruppur,Coimbatore
Karaikudi,Tenkasi,111,3,0,1,Safe,Namakkal → Pudukkottai → Sathyamangalam,Sathyamangalam
Tiruchirappalli,Nagercoil,167,6,1,1,Safe,Ambur → Avadi → Pattukkottai,"Ambur, Avadi, Pattukkottai"
Namakkal,Mettupalayam,351,4,0,1,Moderate Risk,Chennai → Dindigul → Chidambaram,"Dindigul, Chidambaram"
Dharmapuri,Ramanathapuram,286,2,1,0,Moderate Risk,Coimbatore → Perambalur → Salem,None
Ramanathapuram,Chidambaram,183,6,0,0,Safe,Tiruchirappalli → Sivakasi → Dindigul,None
Pollachi,Gobichettipalayam,316,1,1,1,High Risk,Mettupalayam,Mettupalayam
Sivakasi,Tiruppur,287,4,1,0,Safe,Ramanathapuram → Pattukkottai,None
Karur,Dindigul,62,7,1,1,High Risk,Ariyalur → Madurai → Nagapattinam,None
Perambalur,Nagercoil,322,6,0,1,High Risk,Dindigul → Namakkal → Cuddalore,"Cuddalore, Dindigul"
Villupuram,Chidambaram,288,8,1,1,Safe,Pattukkottai → Nagercoil,"Nagercoil, Pattukkottai"
Mettupalayam,Chidambaram,74,8,0,1,Moderate Risk,Thoothukudi,None
Dharmapuri,Mettupalayam,351,7,1,1,High Risk,Ambur,None
Mettupalayam,Pollachi,187,10,1,1,Safe,Tiruchirappalli → Madurai,None
Ramanathapuram,Dharmapuri,89,1,0,0,Moderate Risk,Ambur → Gobichettipalayam,None
Thanjavur,Pudukkottai,69,5,0,1,Moderate Risk,Namakkal,None
Erode,Pollachi,97,8,0,1,Safe,Tirunelveli,Tirunelveli
Thoothukudi,Karaikudi,174,3,0,1,Safe,Thanjavur,None
Tiruppur,Ramanathapuram,160,10,0,0,Safe,Karur,None
Tiruchirappalli,Pudukkottai,154,4,0,1,Moderate Risk,Ariyalur → Mettupalayam → Cuddalore,"Cuddalore, Mettupalayam"
Coimbatore,Perambalur,317,5,1,0,Safe,Tenkasi,None
Madurai,Thoothukudi,325,1,1,0,Safe,Chennai → Salem → Tambaram,"Salem, Tambaram, Chennai"
Tiruppur,Salem,142,6,0,1,Moderate Risk,Chidambaram,Chidambaram
Tirunelveli,Namakkal,269,1,1,1,High Risk,Coimbatore → Tiruchirappalli,None
Salem,Coimbatore,140,4,0,0,High Risk,Nagercoil → Nagapattinam → Tirunelveli,"Nagercoil, Tirunelveli"
Erode,Thoothukudi,87,3,1,1,High Risk,Tirunelveli → Salem → Kanchipuram,None
Pattukkottai,Villupuram,327,3,0,0,Moderate Risk,Coimbatore → Vellore → Salem,Coimbatore
Vellore,Mettupalayam,344,5,0,1,Moderate Risk,Erode,Erode
Pudukkottai,Sivakasi,320,7,0,0,High Risk,Ambur → Pattukkottai,None
Nagercoil,Tiruppur,197,8,1,0,Safe,Chennai,None
Perambalur,Sivakasi,176,3,0,1,Moderate Risk,Kanchipuram,Kanchipuram
Chennai,Pollachi,375,4,0,1,Moderate Risk,Avadi → Nagercoil,Avadi
Sathyamangalam,Dharmapuri,122,6,1,0,Moderate Risk,Chennai → Tiruppur → Ariyalur,None
Pollachi,Ramanathapuram,61,10,1,0,Moderate Risk,Thoothukudi → Thanjavur,None
Nagapattinam,Avadi,138,8,0,0,High Risk,Chennai,None
Nagapattinam,Tirunelveli,221,5,1,1,Safe,Gobichettipalayam → Sathyamangalam,None
Vellore,Salem,164,2,1,0,High Risk,Erode,None
Ariyalur,Gobichettipalayam,63,8,1,1,Moderate Risk,Karaikudi,None
Vellore,Namakkal,241,2,1,1,Moderate Risk,Kanchipuram,None
Nagapattinam,Madurai,93,10,1,1,Safe,Vellore,None
Tiruppur,Tenkasi,384,3,1,0,Safe,Vellore,None
Madurai,Perambalur,400,3,1,1,High Risk,Coimbatore → Thanjavur,Coimbatore
Avadi,Gobichettipalayam,187,6,0,0,High Risk,Villupuram,None
Villupuram,Tambaram,141,7,0,0,Safe,Namakkal → Dharmapuri,"Dharmapuri, Namakkal"
Mettupalayam,Pudukkottai,137,3,0,0,High Risk,Karaikudi,Karaikudi
Pudukkottai,Tenkasi,206,9,0,1,Moderate Risk,Vellore → Chennai,None
Pollachi,Chennai,236,2,0,0,Moderate Risk,Vellore,None
Chidambaram,Mettupalayam,248,2,1,1,Safe,Cuddalore → Nagapattinam → Erode,None
Gobichettipalayam,Chennai,52,3,1,1,Moderate Risk,Thanjavur → Ramanathapuram → Dharmapuri,"Thanjavur, Ramanathapuram, Dharmapuri"
Thanjavur,Thoothukudi,255,2,0,0,High Risk,Tenkasi,None
Sivakasi,Pollachi,177,10,0,0,Safe,Erode,Erode
Ramanathapuram,Nagercoil,144,3,0,1,Moderate Risk,Nagapattinam → Tambaram → Tiruchirappalli,None
Mettupalayam,Ariyalur,206,1,0,1,Moderate Risk,Madurai → Villupuram,Madurai
Cuddalore,Ambur,281,6,0,0,Moderate Risk,Gobichettipalayam → Nagercoil,None
Pudukkottai,Thoothukudi,329,6,1,0,Moderate Risk,Pattukkottai → Tenkasi → Dharmapuri,Dharmapuri
Chennai,Cuddalore,138,10,0,1,Moderate Risk,Karaikudi → Pollachi → Salem,None
Perambalur,Sathyamangalam,121,7,0,1,Safe,Tiruppur → Gobichettipalayam → Erode,None
Sathyamangalam,Thoothukudi,247,5,0,0,Safe,Pattukkottai → Karaikudi,"Pattukkottai, Karaikudi"
Avadi,Tambaram,196,5,1,0,Moderate Risk,Erode → Karaikudi → Dindigul,None
Karaikudi,Tirunelveli,151,4,0,1,Safe,Perambalur → Coimbatore → Erode,None
Karur,Dharmapuri,313,1,0,0,High Risk,Mettupalayam,None
Villupuram,Thoothukudi,111,4,0,1,Moderate Risk,Nagercoil,None
Tiruchirappalli,Madurai,300,7,1,1,High Risk,Ambur → Chennai → Erode,"Ambur, Chennai, Erode"
Kanchipuram,Nagercoil,244,5,1,0,Moderate Risk,Vellore,None
Vellore,Villupuram,237,9,0,0,High Risk,Nagercoil → Pattukkottai,"Pattukkottai, Nagercoil"
Coimbatore,Thoothukudi,197,8,1,0,High Risk,Madurai → Mettupalayam → Pudukkottai,None
Pollachi,Dharmapuri,264,6,0,1,Safe,Vellore,Vellore
Tenkasi,Dindigul,51,3,0,1,High Risk,Tiruchirappalli → Vellore → Thanjavur,Vellore
Madurai,Salem,236,4,0,1,High Risk,Chidambaram,None
Nagapattinam,Kanchipuram,255,10,0,1,High Risk,Perambalur,Perambalur
Avadi,Karaikudi,337,7,1,0,High Risk,Chidambaram → Ariyalur → Mettupalayam,None
Dindigul,Pattukkottai,74,1,1,1,Safe,Karur,None
Ambur,Chennai,179,8,1,0,Safe,Kanchipuram → Nagercoil,Kanchipuram
Gobichettipalayam,Nagercoil,155,2,0,0,Safe,Madurai,None
Vellore,Avadi,274,3,0,1,Moderate Risk,Karur → Namakkal → Mettupalayam,Karur
Vellore,Tambaram,100,10,1,1,Moderate Risk,Ariyalur,Ariyalur
Tenkasi,Thanjavur,107,9,1,0,Moderate Risk,Pollachi → Coimbatore → Ramanathapuram,None
Ambur,Dindigul,229,5,0,0,High Risk,Erode → Tiruchirappalli → Sathyamangalam,None
Dindigul,Karur,338,8,0,1,High Risk,Ariyalur → Vellore,None
Namakkal,Ambur,330,3,1,1,Moderate Risk,Avadi,None
Sathyamangalam,Villupuram,364,4,1,0,Safe,Coimbatore,None
Tambaram,Ramanathapuram,337,2,1,0,Moderate Risk,Tiruppur → Vellore → Salem,None
Nagapattinam,Coimbatore,139,7,1,1,Moderate Risk,Karur → Dharmapuri → Villupuram,"Karur, Villupuram, Dharmapuri"
Salem,Ariyalur,133,1,0,1,High Risk,Tiruchirappalli → Ambur,None
Thoothukudi,Tiruppur,148,6,1,1,High Risk,Tambaram → Madurai,"Madurai, Tambaram"
Tambaram,Thanjavur,151,7,1,0,High Risk,Chennai,None
Tirunelveli,Nagercoil,218,5,0,0,Safe,Pattukkottai → Perambalur → Chennai,"Chennai, Pattukkottai"
Tenkasi,Tiruchirappalli,162,1,1,1,Safe,Nagercoil → Erode → Tirunelveli,Erode
Thoothukudi,Coimbatore,140,1,1,1,Moderate Risk,Tiruppur,None
Ariyalur,Avadi,230,4,1,1,Moderate Risk,Chidambaram → Tenkasi → Gobichettipalayam,None
Karaikudi,Kanchipuram,213,6,1,1,High Risk,Thoothukudi,None
Villupuram,Thanjavur,244,4,1,0,Moderate Risk,Nagercoil → Sivakasi → Pudukkottai,Pudukkottai
Nagapattinam,Ambur,349,2,1,1,Safe,Perambalur → Mettupalayam → Tirunelveli,"Mettupalayam, Perambalur"
Vellore,Nagercoil,260,8,1,0,Safe,Dindigul → Namakkal,None
Dindigul,Gobichettipalayam,394,5,1,0,High Risk,Karaikudi → Cuddalore,Cuddalore
Thoothukudi,Chennai,225,10,0,0,High Risk,Pudukkottai → Sivakasi,"Sivakasi, Pudukkottai"
Perambalur,Coimbatore,346,7,1,1,Safe,Pollachi → Karaikudi,None
Namakkal,Sathyamangalam,132,8,0,1,Moderate Risk,Thoothukudi → Kanchipuram,"Thoothukudi, Kanchipuram"
Karaikudi,Gobichettipalayam,221,8,0,1,Safe,Avadi → Chennai,Avadi
Thoothukudi,Mettupalayam,266,7,1,1,High Risk,Chidambaram → Pattukkottai,None
Nagapattinam,Villupuram,251,3,0,0,High Risk,Dindigul,Dindigul
Ariyalur,Karur,174,1,0,0,Safe,Thoothukudi,Thoothukudi
Ambur,Vellore,348,7,0,0,High Risk,Coimbatore → Cuddalore → Nagapattinam,Coimbatore
Karaikudi,Erode,52,3,1,0,High Risk,Perambalur → Karur,None
Salem,Coimbatore,243,2,0,1,High Risk,Nagercoil → Dharmapuri → Avadi,Nagercoil
Chennai,Tenkasi,182,4,0,0,Moderate Risk,Vellore → Salem → Tiruppur,"Salem, Tiruppur, Vellore"
Tiruppur,Gobichettipalayam,225,9,1,0,High Risk,Dharmapuri → Tenkasi,None
Villupuram,Madurai,295,9,1,0,High Risk,Tenkasi → Chidambaram,Chidambaram
Nagapattinam,Pattukkottai,158,7,1,1,Moderate Risk,Tambaram → Gobichettipalayam,None
Pudukkottai,Mettupalayam,184,7,0,0,High Risk,Namakkal,None
Avadi,Dharmapuri,153,8,0,0,Safe,Pudukkottai → Sivakasi → Chidambaram,Pudukkottai
Avadi,Coimbatore,235,1,1,0,Safe,Cuddalore,None
Erode,Mettupalayam,263,3,1,0,Safe,Sivakasi → Tenkasi,"Tenkasi, Sivakasi"
Ramanathapuram,Chidambaram,400,3,0,0,Safe,Tambaram → Dharmapuri,None
Tenkasi,Dindigul,330,9,1,1,High Risk,Thanjavur,None
Thoothukudi,Thanjavur,393,7,1,0,High Risk,Dindigul → Ramanathapuram → Karaikudi,None
Kanchipuram,Dharmapuri,62,3,1,0,Moderate Risk,Dindigul → Chidambaram,"Chidambaram, Dindigul"
Tenkasi,Ariyalur,204,1,1,1,Safe,Karur → Ramanathapuram,None
Sivakasi,Vellore,362,10,0,1,High Risk,Ramanathapuram → Nagercoil,Nagercoil
Mettupalayam,Tiruppur,152,9,1,0,Safe,Chidambaram,None
Coimbatore,Villupuram,76,4,0,1,Moderate Risk,Perambalur → Chidambaram,None
Mettupalayam,Chennai,380,5,1,0,Moderate Risk,Vellore,Vellore
Karaikudi,Gobichettipalayam,394,4,1,0,High Risk,Thanjavur → Chennai → Coimbatore,"Thanjavur, Chennai"
Tirunelveli,Erode,96,2,0,0,Safe,Thanjavur → Pudukkottai,Thanjavur
Perambalur,Chennai,168,5,0,1,Moderate Risk,Mettupalayam,Mettupalayam
Kanchipuram,Salem,71,7,1,0,High Risk,Erode → Nagercoil → Karaikudi,Erode
Kanchipuram,Sathyamangalam,62,9,1,0,Moderate Risk,Tiruppur → Pudukkottai → Dharmapuri,"Pudukkottai, Dharmapuri"
Salem,Namakkal,328,6,0,1,Moderate Risk,Pattukkottai → Tirunelveli → Cuddalore,"Tirunelveli, Cuddalore, Pattukkottai"
Erode,Dindigul,91,6,0,0,High Risk,Ariyalur → Perambalur,None
Coimbatore,Erode,320,7,0,1,High Risk,Madurai → Pollachi,"Madurai, Pollachi"
Thoothukudi,Pollachi,138,1,0,0,High Risk,Tenkasi → Dharmapuri → Mettupalayam,None
Nagercoil,Perambalur,390,2,1,1,High Risk,Sivakasi,Sivakasi
Tirunelveli,Ariyalur,397,3,1,1,High Risk,Dharmapuri,None
Nagercoil,Namakkal,275,1,0,1,Moderate Risk,Tirunelveli → Gobichettipalayam,Tirunelveli
Tiruppur,Avadi,396,1,1,0,Safe,Karaikudi → Erode → Gobichettipalayam,None
Mettupalayam,Nagercoil,293,9,0,1,Moderate Risk,Nagapattinam,None
Gobichettipalayam,Thanjavur,286,5,0,1,Safe,Sivakasi,None
Tambaram,Sivakasi,286,3,1,0,Safe,Kanchipuram,None
Cuddalore,Tenkasi,318,2,1,1,Safe,Nagapattinam,Nagapattinam
Karaikudi,Tambaram,295,7,0,1,High Risk,Sivakasi → Madurai,"Madurai, Sivakasi"
Salem,Nagercoil,198,5,0,1,High Risk,Pollachi → Ramanathapuram → Gobichettipalayam,None
Vellore,Pudukkottai,71,1,1,0,Safe,Gobichettipalayam → Dharmapuri → Karur,Karur
Chennai,Erode,312,8,0,1,High Risk,Namakkal,None
Dindigul,Pattukkottai,98,3,0,0,Safe,Vellore,None
Coimbatore,Perambalur,290,3,0,0,Moderate Risk,Thoothukudi → Pattukkottai,Thoothukudi
Salem,Tirunelveli,103,6,0,1,Moderate Risk,Chidambaram,None
Villupuram,Chidambaram,260,5,0,0,High Risk,Pollachi → Madurai,None
Chidambaram,Perambalur,67,9,0,1,High Risk,Vellore → Ambur,None
